linea,sentido,tipodia,sublinea,tr_optimo,tr_minimo,tr_maximo,nodo,nodo_2,hora_desde,hora_minimo,hora_maximo
263,2,Habil,1072,00:24:21,00:22:26,00:25:40,Museo Nacional B - 1 ó 5,PORTAL 20 DE JULIO T7,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
266,1,Habil,1522,00:15:19,00:14:25,00:15:59,Portal Américas T8,Banderas T8,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
266,1,Habil,1522,00:15:19,00:14:25,00:15:59,Portal Américas T8,Banderas T8,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
266,1,Habil,1522,00:15:19,00:14:25,00:15:59,Banderas T8,Calle 22 B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
266,1,Habil,1522,00:15:19,00:14:25,00:15:59,Banderas T8,Calle 22 B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
266,2,Habil,1522,00:40:45,00:37:31,00:43:20,Calle 22 B - 4 ó 6,Portal Américas T8,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:40:00Z
266,2,Habil,1522,00:40:45,00:37:31,00:43:20,Calle 22 B - 4 ó 6,Portal Américas T8,2022-03-18T20:40:00Z,2022-03-18T01:00:00Z,2022-03-18T20:40:00Z
40,1,Habil,1492,0:40:08,0:36:27,0:41:50,Portal Américas T6,Aguas A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
40,1,Habil,1492,0:40:08,0:36:27,0:41:50,Portal Américas T6,Aguas A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
40,1,Habil,1493,00:32:13,00:30:29,00:33:14,Banderas T3,Aguas A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
40,1,Habil,1493,00:32:13,00:30:29,00:33:14,Banderas T3,Aguas A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1426,0:28:57,0:27:34,0:30:02,Portal Tunal T6,Calle 76 A - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1426,0:28:57,0:27:34,0:30:02,Portal Tunal T6,Calle 76 A - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1426,0:28:57,0:27:34,0:30:02,Calle 76 A - 4 ó 6,Portal Suba T3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1426,0:28:57,0:27:34,0:30:02,Calle 76 A - 4 ó 6,Portal Suba T3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Portal Suba T3,Calle 76 B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Portal Suba T3,Calle 76 B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Calle 76 B - 2 ó 5,Calle 22 A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Calle 76 B - 2 ó 5,Calle 22 A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Calle 22 A - 2 ó 5,Portal Tunal T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1426,0:15:14,0:14:23,0:16:01,Calle 22 A - 2 ó 5,Portal Tunal T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1427,0:28:00,0:27:00,0:28:45,Portal Tunal T6,Calle 76 A - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1427,0:28:00,0:27:00,0:28:45,Portal Tunal T6,Calle 76 A - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1427,0:28:00,0:27:00,0:28:45,Calle 76 A - 4 ó 6,Portal Suba T3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,1,Habil,1427,0:28:00,0:27:00,0:28:45,Calle 76 A - 4 ó 6,Portal Suba T3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Portal Suba T3,Calle 76 B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Portal Suba T3,Calle 76 B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Calle 76 B - 2 ó 5,Calle 22 A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Calle 76 B - 2 ó 5,Calle 22 A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Calle 22 A - 2 ó 5,Portal Tunal T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
1,2,Habil,1427,0:15:15,0:14:15,0:15:45,Calle 22 A - 2 ó 5,Portal Tunal T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,2,Habil,1379,0:19:36,0:18:36,0:20:32,Portal Norte T1,Calle 106 B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,2,Habil,1379,0:19:36,0:18:36,0:20:32,Portal Norte T1,Calle 106 B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,2,Habil,1379,0:19:36,0:18:36,0:20:32,Calle 106 B - 2 ó 5,Portal 80 T-2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,2,Habil,1379,0:19:36,0:18:36,0:20:32,Calle 106 B - 2 ó 5,Portal 80 T-2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,1,Habil,1496,0:14:17,0:13:40,0:14:37,Portal Tunal T1,Quiroga A - 3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,1,Habil,1496,0:14:17,0:13:40,0:14:37,Portal Tunal T1,Quiroga A - 3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,1,Habil,1496,0:14:17,0:13:40,0:14:37,Quiroga A - 3,Portal Norte T5A,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,1,Habil,1496,0:14:17,0:13:40,0:14:37,Quiroga A - 3,Portal Norte T5A,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,2,Habil,1496,0:18:30,0:17:28,0:19:09,Portal Norte T5A,Calle 106 A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,2,Habil,1496,0:18:30,0:17:28,0:19:09,Portal Norte T5A,Calle 106 A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,2,Habil,1496,0:18:30,0:17:28,0:19:09,Calle 106 A - 2 ó 5,Portal Tunal T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
8,2,Habil,1496,0:18:30,0:17:28,0:19:09,Calle 106 A - 2 ó 5,Portal Tunal T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Portal Américas T2 A,Tv. 86 B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Portal Américas T2 A,Tv. 86 B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Tv. 86 B - 2 ó 5,Banderas T8,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Tv. 86 B - 2 ó 5,Banderas T8,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Banderas T8,Portal Norte T2A,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,1,Habil,1524,0:02:00,0:01:26,0:02:00,Banderas T8,Portal Norte T2A,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,2,Habil,1524,0:21:21,0:20:13,0:21:56,Portal Norte T2A,Calle 100 B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,2,Habil,1524,0:21:21,0:20:13,0:21:56,Portal Norte T2A,Calle 100 B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,2,Habil,1524,0:21:21,0:20:13,0:21:56,Calle 100 B - 2 ó 5,Portal Américas T2 A,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
9,2,Habil,1524,0:21:21,0:20:13,0:21:56,Calle 100 B - 2 ó 5,Portal Américas T2 A,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,1,Habil,1482,0:50:20,0:46:58,0:51:55,Portal Eldorado T-2,Terminal A - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,1,Habil,1482,0:50:20,0:46:58,0:51:55,Portal Eldorado T-2,Terminal A - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,2,Habil,1482,0:08:15,0:07:45,0:08:30,Terminal A - 4 ó 6,Toberín A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,2,Habil,1482,0:08:15,0:07:45,0:08:30,Terminal A - 4 ó 6,Toberín A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,2,Habil,1482,0:08:15,0:07:45,0:08:30,Toberín A - 2 ó 5,Portal Eldorado T-2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
10,2,Habil,1482,0:08:15,0:07:45,0:08:30,Toberín A - 2 ó 5,Portal Eldorado T-2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
11,1,Habil,1462,1:08:02,1:04:28,1:09:26,Portal Tunal T2,Portal Norte T5A,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
11,1,Habil,1462,1:08:02,1:04:28,1:09:26,Portal Tunal T2,Portal Norte T5A,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
11,2,Habil,1462,1:12:46,1:08:00,1:14:30,Portal Norte T5A,Portal Tunal T2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
11,2,Habil,1462,1:12:46,1:08:00,1:14:30,Portal Norte T5A,Portal Tunal T2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,2,Habil,1487,0:17:21,0:16:43,0:17:54,Portal Norte T2B,Calle 106 B - 1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,2,Habil,1487,0:17:21,0:16:43,0:17:54,Portal Norte T2B,Calle 106 B - 1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,2,Habil,1487,0:17:21,0:16:43,0:17:54,Calle 106 B - 1,Portal Américas T3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,2,Habil,1487,0:17:21,0:16:43,0:17:54,Calle 106 B - 1,Portal Américas T3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
15,1,Habil,1488,1:10:45,1:07:45,1:14:15,Portal Américas T2 B,Alcalá C - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
15,1,Habil,1488,1:10:45,1:07:45,1:14:15,Portal Américas T2 B,Alcalá C - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1415,0:48:32,0:44:31,0:51:20,Aguas A - 2 ó 5,Portal Norte T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1415,0:48:32,0:44:31,0:51:20,Aguas A - 2 ó 5,Portal Norte T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,2,Habil,1415,0:50:40,0:47:35,0:52:14,Portal Norte T1,Aguas A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,2,Habil,1415,0:50:40,0:47:35,0:52:14,Portal Norte T1,Aguas A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1416,0:45:39,0:43:21,0:47:22,Universidades B - 4 ó 6,Portal Norte T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1416,0:45:39,0:43:21,0:47:22,Universidades B - 4 ó 6,Portal Norte T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1417,0:43:32,0:41:21,0:45:05,Portal Norte T1,Universidades B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
21,1,Habil,1417,0:43:32,0:41:21,0:45:05,Portal Norte T1,Universidades B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,1,Habil,1498,0:29:55,0:29:05,0:30:31,Portal Usme T4,Calle 76 A - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,1,Habil,1498,0:29:55,0:29:05,0:30:31,Portal Usme T4,Calle 76 A - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,1,Habil,1498,0:29:55,0:29:05,0:30:31,Calle 76 A - 4 ó 6,Portal Suba T4,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,1,Habil,1498,0:29:55,0:29:05,0:30:31,Calle 76 A - 4 ó 6,Portal Suba T4,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,2,Habil,1498,01:26:22,01:22:07,01:30:37,Portal Suba T4,Portal Usme T4,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
26,2,Habil,1498,01:26:22,01:22:07,01:30:37,Portal Suba T4,Portal Usme T4,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,1,Habil,1500,0:05:21,0:05:15,0:05:24,Portal Suba T1,La Campiña B - 1 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,1,Habil,1500,0:05:21,0:05:15,0:05:24,Portal Suba T1,La Campiña B - 1 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,1,Habil,1500,0:05:21,0:05:15,0:05:24,La Campiña B - 1 ó 5,Portal Sur T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,1,Habil,1500,0:05:21,0:05:15,0:05:24,La Campiña B - 1 ó 5,Portal Sur T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,Portal Sur T1,G. Santander B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,Portal Sur T1,G. Santander B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,G. Santander B - 4 ó 6,CAD A - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,G. Santander B - 4 ó 6,CAD A - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,CAD A - 4 ó 6,Portal Suba T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
28,2,Habil,1500,0:12:05,0:11:38,0:12:23,CAD A - 4 ó 6,Portal Suba T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
32,1,Habil,1501,01:14:04,01:10:04,01:16:04,Portal Usme T1B,Portal 80 T-1B,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
32,1,Habil,1501,01:14:04,01:10:04,01:16:04,Portal Usme T1B,Portal 80 T-1B,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
32,2,Habil,1501,01:11:21,01:07:36,01:15:06,Portal 80 T-1B,Portal Usme T1B,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
32,2,Habil,1501,01:11:21,01:07:36,01:15:06,Portal 80 T-1B,Portal Usme T1B,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,1,Habil,1447,0:24:00,0:22:37,0:24:33,Portal Sur T7,Ricaurte C - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,1,Habil,1447,0:24:00,0:22:37,0:24:33,Portal Sur T7,Ricaurte C - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,1,Habil,1447,0:24:00,0:22:37,0:24:33,Ricaurte C - 4 ó 6,Portal 80 T-3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,1,Habil,1447,0:24:00,0:22:37,0:24:33,Ricaurte C - 4 ó 6,Portal 80 T-3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,2,Habil,1447,0:07:57,0:07:36,0:08:09,Portal 80 T-3,Granja - Cra. 77 D - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,2,Habil,1447,0:07:57,0:07:36,0:08:09,Portal 80 T-3,Granja - Cra. 77 D - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,2,Habil,1447,0:07:57,0:07:36,0:08:09,Granja - Cra. 77 D - 2 ó 5,Portal Sur T7,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
33,2,Habil,1447,0:07:57,0:07:36,0:08:09,Granja - Cra. 77 D - 2 ó 5,Portal Sur T7,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
41,1,Habil,1139,1:11:06,1:07:33,1:14:39,Portal Américas T7,Granja - Cra. 77 D - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
41,1,Habil,1139,1:11:06,1:07:33,1:14:39,Portal Américas T7,Granja - Cra. 77 D - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,1,Habil,1456,1:09:40,1:05:39,1:11:00,Portal Sur T5,Terminal A - 3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,1,Habil,1456,1:09:40,1:05:39,1:11:00,Portal Sur T5,Terminal A - 3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Terminal A - 3,Toberín B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Terminal A - 3,Toberín B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Toberín B - 2 ó 5,Héroes C - 1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Toberín B - 2 ó 5,Héroes C - 1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Héroes C - 1,Portal Sur T5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
43,2,Habil,1456,0:09:30,0:09:10,0:09:46,Héroes C - 1,Portal Sur T5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1251,0:46:56,0:43:30,0:49:17,Toberín E - 1,Movistar Arena A - 2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1251,0:46:56,0:43:30,0:49:17,Toberín E - 1,Movistar Arena A - 2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1251,0:46:56,0:43:30,0:49:17,Movistar Arena A - 2,Portal Usme T5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1251,0:46:56,0:43:30,0:49:17,Movistar Arena A - 2,Portal Usme T5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1469,0:53:51,0:50:00,0:56:58,Portal Usme T5,Molinos B - 3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1469,0:53:51,0:50:00,0:56:58,Portal Usme T5,Molinos B - 3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1469,0:53:51,0:50:00,0:56:58,Molinos B - 3,Toberín B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
50,1,Habil,1469,0:53:51,0:50:00,0:56:58,Molinos B - 3,Toberín B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
51,1,Habil,1471,1:14:21,1:09:16,1:18:04,Toberín E - 1,Portal Tunal T5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
51,1,Habil,1471,1:14:21,1:09:16,1:18:04,Toberín E - 1,Portal Tunal T5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Portal Norte T5B,Héroes B - 2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Portal Norte T5B,Héroes B - 2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Héroes B - 2,Av. Jiménez B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Héroes B - 2,Av. Jiménez B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Av. Jiménez B - 2 ó 5,Portal Usme T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,1,Habil,1503,0:18:32,0:17:08,0:19:15,Av. Jiménez B - 2 ó 5,Portal Usme T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Portal Usme T6,Molinos B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Portal Usme T6,Molinos B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Molinos B - 4 ó 6,Calle 72 C - 3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Molinos B - 4 ó 6,Calle 72 C - 3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Calle 72 C - 3,Portal Norte T5B,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
52,2,Habil,1503,0:21:26,0:20:12,0:22:00,Calle 72 C - 3,Portal Norte T5B,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
53,1,Habil,1425,0:40:42,0:36:26,0:42:40,Universidades B - 4 ó 6,Portal 80 T-2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
53,1,Habil,1425,0:40:42,0:36:26,0:42:40,Universidades B - 4 ó 6,Portal 80 T-2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
53,2,Habil,1425,0:08:57,0:08:37,0:09:15,Portal 80 T-2,Granja - Cra. 77 D - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
53,2,Habil,1425,0:08:57,0:08:37,0:09:15,Portal 80 T-2,Granja - Cra. 77 D - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
53,2,Habil,1425,0:08:57,0:08:37,0:09:15,Granja - Cra. 77 D - 2 ó 5,Universidades A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
